Dennington,273
Dereham,21365
Dersingham,4550
Dickleburgh,1116
Diss - DissSD,11142
Diss - PalgraveSD,955
Ditchingham,2128
Docking,778
Doddinghurst,4420
Doddinghurst Common,160
Downham Market,11932
Drinkstone Green,600
Dry Drayton,644
Dullingham/Stetchworth - DullinghamSD,778
Dullingham/Stetchworth - StetchworthSD,666
Dunton,755
Duxford Airfield,709
Duxford,2215
Earith,1581
Earl Soham,445
Earls Colne,3841
Earsham,905
East Bergholt,2387
East Hanningfield,917
East Harling,2345
East Rudham,583
East Tilbury - East TilburySD,5550
East Tilbury - LinfordSD,851
East Winch,830
Easton (South Norfolk),1607
Easton (Suffolk Coastal),375
Eaton Bray,4152
Eccles on Sea,317
Elder Street,888
Ellingham,697
Ellington (Huntingdonshire),594
Elmdon,300
Elmsett,628
Elmstead Market,1713
Elmswell,4376
Elsenham - ElsenhamSD,3292
Elsworth,630
Eltisley,342
Elton,660
Ely,20333
Epping,11218
Erpingham,395
Essendon,565
Everton - EvertonSD,519
Eye (City of Peterborough) - Eye (City of Peterborough)SD,3911
Eye (City of Peterborough) - Eye GreenSD,656
Eye (Mid Suffolk) - Eye (Mid Suffolk)SD,2352
Eye (Mid Suffolk) - YaxleySD,613
Eyke,387
Fairfield Park,4140
Fakenham,8727
Felixstowe - FelixstoweSD,24441
Felixstowe - Trimley St MarySD,5966
Felmersham,354
Felsham,499
Felsted/Bannister Green - Bannister GreenSD,1144
Felsted/Bannister Green - Causeway EndSD,319
Felsted/Bannister Green - FelstedSD,1330
Felthorpe,628
Feltwell,2512
Fen Drayton,864
Fenstanton,2726
Filby,813
Fincham,490
Finchingfield,753
Finningham,515
Flamstead,1080
Fleggburgh (Burgh St Margaret),861
Folksworth,894
Ford End,734
Fordham (Colchester),825
Fordham (East Cambridgeshire),2779
Forncett End,1061
Foulden,432
Foulsham,994
Fowlmere,1308
Fox Street,725
Foxley,312
Foxton (South Cambridgeshire),1233
Framlingham,3817
Frating Green - Frating GreenSD,319
Freckenham,361
Freethorpe,1024
Fressingfield,870
Frettenham,658
Furneux Pelham,547
Fyfield,747
Gamble's Green,316
Gamlingay,3326
Garboldisham,527
Garvestone,352
Gayton (King's Lynn and West Norfolk),1451
Gazeley,626
Geldeston,419
Gislingham,654
Glatton,286
Glemsford,3672
Glinton,1557
Godmanchester,7295
Goldhanger,725
Gooderstone,394
Gorefield,987
Gosfield,1160
Grantchester,576
Graveley,261
Grays - Baker StreetSD,650
Grays - Chadwell St MarySD,10481
Grays - GraysSD,76563
Grays - TilburySD,14364
Great Abington/Little Abington - Great AbingtonSD,745
Great Abington/Little Abington - Little AbingtonSD,512
Great Amwell,1136
Great Bardfield,1368
Great Barford,2181
Great Barton (East),235
Great Barton,1584
Great Bentley,1597
Great Bircham,468
Great Chesterford,1748
Great Chishill - Great ChishillSD,627
Great Chishill - HeydonSD,213
Great Dunmow,9118
Great Easton (Uttlesford),463
Great Ellingham,847
Great Eversden,238
Great Finborough,857
Great Gidding,346
Great Gransden - Great GransdenSD,957
Great Gransden - Little GransdenSD,276
Great Green,314
Great Hockham,597
Great Horkesley - Great HorkesleySD,2240
Great Horkesley - Tye Green (Colchester)SD,476
Great Hormead,348
Great Leighs,2847
Great Livermere,209
Great Malgraves,267
Great Massingham,954
Great Moulton/Sneath Common - Great MoultonSD,381
Great Moulton/Sneath Common - Sneath CommonSD,392
Great Oakley,692
Great Offley,883
Great Paxton,970
Great Ryburgh,667
Great Sampford,571
Great Snoring,152
Great Staughton,846
Great Stukeley,821
Great Tey,582
Great Totham,764
Great Wakering,5686
Great Waldingfield,1323
Great Waltham,851
Great Wilbraham,645
Great Wratting,199
Great Yarmouth - Gorleston-on-SeaSD,24785
Great Yarmouth - Great YarmouthSD,41013
Great Yeldham,1868
Greater London - BedmondSD,964
Greater London - BorehamwoodSD,38353
Greater London - Broadley CommonSD,497
Greater London - BusheySD,27546
Greater London - CheshuntSD,47072
Greater London - ChigwellSD,11129
Greater London - ChorleywoodSD,13510
Greater London - ElstreeSD,1973
Greater London - HarlowSD,87420
Greater London - Hemel HempsteadSD,103458
Greater London - HoddesdonSD,44077
Greater London - How WoodSD,6963
Greater London - LoughtonSD,33213
Greater London - NorthwoodSD,5898
Greater London - Park StreetSD,2702
Greater London - RickmansworthSD,25413
Greater London - SawbridgeworthSD,10633
Greater London - SmallfordSD,360
Greater London - St AlbansSD,88448
Greater London - St MargaretsSD,3714
Greater London - Stapleford AbbottsSD,666
Greater London - Waltham AbbeySD,19388
Greater London - Waltham CrossSD,11143
Greater London - WatfordSD,142084
Greenfield,1903
Gressenhall,898
Grimston,2011
Griston,1643
Grundisburgh,1479
Guilden Morden,936
Guyhirn,369
Haddenham (East Cambridgeshire),2922
Haddiscoe,384
Hadham Cross,1271
Hadleigh,8857
Hadstock,342
Hail Weston,562
Hainford,414
Hales,782
Halesworth,5853
Halstead,12175
Halvergate,607
Happisburgh,358
Hardwick (South Cambridgeshire),2539
Hardwick (South Norfolk),271
Hare Green,660
Harleston,5175
Harling Road,365
Harlington,2262
Harlton,308
Harpenden,31854
Harrold,1599
Harston,1873
Hartest,509
Harwich - HarwichSD,21076
Harwich - ParkestonSD,954
Haslingfield,2302
Hatfield - Colney HeathSD,1402
Hatfield - HatfieldSD,46565
Hatfield - Welham GreenSD,2978
Hatfield Broad Oak,953
Hatfield Heath,1861
Hatfield Peverel - Hatfield PeverelSD,3226
Hatfield Peverel - NounsleySD,701
Haughley,1350
Hauxton,1119
Haverhill,27329
Haynes,915
Heath and Reach,1517
Heckfield Green,616
Hedenham,247
Helpston,1095
Hemingford Abbots,634
Hempnall,989
Hempnall Green,328
Hempstead,428
Hemsby,5731
Henham,1018
Henley,629
Hepworth,561
Hertford Heath,3019
Hertford/Ware - HertfordSD,29606
Hertford/Ware - WareSD,20218
Hessett,552
Hethersett,5994
Hevingham,1085
Hexton,132
Heybridge Basin,748
Hickling (North Norfolk),940
High Beach,272
High Cross,497
High Easter,726
High Kelling,500
High Park Corner,255
High Roding,583
Highpoint Prison,1520
Hilgay,860
Hilton (Huntingdonshire),1022
Hinderclay,305
Hindolveston,630
Hindringham,472
Hingham,2224
Hitcham,764
Hitchin - HitchinSD,36608
Hitchin - IcklefordSD,1901
Hockliffe,1078
Hockwold cum Wilton,1229
Hogpits Bottom,331
Holbrook,1106
Hollesley,665
Holme (Huntingdonshire),602
Holme Hale,549
Holme next the Sea,216
Holt (North Norfolk),4334
Holywell (Central Bedfordshire),624
Holywell (Huntingdonshire),284
Honingham,385
Honington Airfield,1196
Honington,332
Hopton,614
Hopton on Sea,2518
Horham,290
Horndon on the Hill,1484
Horning,1116
Horningsea,306
Horringer,782
Horsford,4811
Houghton (Huntingdonshire),1392
Houghton Conquest,1423
Hoveton,3684
Howe Green,673
Hundon,786
Hunsdon,998
Hunstanton - HunstantonSD,8504
Hunstanton - Old HunstantonSD,533
Huntingdon,26135
Ickleton,766
Icklingham,351
Ingatestone - FryerningSD,322
Ingatestone - IngatestoneSD,5578
Ingham (St. Edmundsbury),446
Ingrave,1740
Ipswich - BramfordSD,1873
Ipswich - IpswichSD,147851
Ipswich - KesgraveSD,19721
Ipswich - MartleshamSD,1571
Ipswich - Rushmere St AndrewSD,639
Ipswich - WoodbridgeSD,11696
Isleham,2292
Ixworth,2269
Jaywick,5139
Kedington,2011
Kelvedon - FeeringSD,609
Kelvedon - KelvedonSD,4749
Kelvedon Hatch,2464
Kenninghall,794
Kensworth,1515
Kessingland,4328
Keswick (North Norfolk),1525
Kimbolton,1128
Kimpton,1458
King's Lynn,48556
Kingston (South Cambridgeshire),248
Kirkby-le-Soken,1405
Kirton (Suffolk Coastal),1192
Knapton,374
Knebworth,4189
Lackford,262
Lakenheath Airfield,2974
Lakenheath,4560
Lamarsh,194
Langford (Central Bedfordshire),3593
Langham (Colchester),784
Langham (North Norfolk),396
Langley,373
Latchingdon,1130
Lavenham,1544
Lawshall,680
Laxfield,1014
Layer-de-la-Haye,1690
Lea Valley,635
Leaden Roding,705
Leavenheath,989
Leighton Buzzard,43203
Leiston - Coldfair GreenSD,793
Leiston - LeistonSD,6030
Lenwade,550
Letchworth Garden City - BaldockSD,10543
Letchworth Garden City - Letchworth Garden CitySD,34308
Letty Green,289
Lidgate,224
Lidlington,1304
